"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2022","153.55","152.60","153.90","150.97","329.87K","4.61%"
"10/01/2022","146.78","143.75","151.90","143.72","59.37K","2.44%"
"09/01/2022","143.28","142.75","146.78","142.40","438.15K","1.22%"
"08/01/2022","141.55","136.30","145.00","136.28","70.16K","3.74%"
"07/01/2022","136.45","132.70","138.07","132.68","400.48K","-1.12%"
"06/01/2022","138.00","130.95","138.25","130.93","60.63K","5.72%"
"05/01/2022","130.53","133.38","136.28","130.22","431.24K","-8.01%"
"04/01/2022","141.90","139.50","144.22","136.35","52.12K","1.81%"
"03/01/2022","139.38","141.43","142.35","133.50","471.93K","-0.80%"
"02/01/2022","140.50","140.03","144.07","138.85","73.27K","0.67%"
"01/01/2022","139.57","139.78","140.40","135.50","383.67K","0.48%"
"12/01/2021","138.90","136.57","139.55","134.00","56.86K","2.22%"
"11/01/2021","135.88","129.28","139.12","128.72","386.73K","6.67%"
"10/01/2021","127.38","121.00","127.50","120.25","43.50K","5.64%"
"09/01/2021","120.58","126.92","128.18","120.35","394.39K","1.37%"
"08/01/2021","118.95","122.33","127.47","118.70","86.03K","-2.56%"
"07/01/2021","122.08","122.70","124.33","118.85","399.61K","-0.34%"
"06/01/2021","122.50","112.95","124.22","111.47","61.64K","5.71%"
"05/01/2021","115.88","116.88","119.42","112.58","409.87K","-0.10%"
"04/01/2021","116.00","120.95","124.58","116.00","76.61K","-4.11%"
"03/01/2021","120.97","119.90","121.58","118.00","422.66K","6.96%"
"02/01/2021","113.10","115.20","118.40","113.05","102.37K","-1.69%"
"01/01/2021","115.05","115.30","117.62","111.35","400.40K","1.86%"
"12/01/2020","112.95","110.28","113.55","107.15","57.31K","2.52%"
"11/01/2020","110.17","108.67","112.70","106.60","388.89K","3.96%"
"10/01/2020","105.97","108.70","110.38","102.75","48.34K","-2.38%"
"09/01/2020","108.55","105.33","109.25","103.38","424.95K","3.88%"
"08/01/2020","104.50","103.10","108.22","101.78","77.33K","1.62%"
"07/01/2020","102.83","96.70","103.88","96.20","442.65K","12.20%"
"06/01/2020","91.65","99.20","99.47","91.38","59.85K","-8.09%"
"05/01/2020","99.72","86.50","101.60","85.72","435.34K","10.80%"
"04/01/2020","90.00","99.10","100.00","81.45","57.80K","-11.62%"
"03/01/2020","101.83","108.33","112.65","91.08","585.30K","-9.65%"
"02/01/2020","112.70","121.40","122.72","110.25","62.64K","-7.15%"
"01/01/2020","121.38","126.00","127.55","121.12","485.01K","-2.66%"
"12/01/2019","124.70","120.97","124.75","119.28","79.32K","2.89%"
"11/01/2019","121.20","117.22","122.08","117.12","453.83K","8.53%"
"10/01/2019","111.67","104.62","114.42","104.25","61.88K","6.78%"
"09/01/2019","104.58","98.97","105.25","93.40","475.71K","-0.40%"
"08/01/2019","105.00","107.12","108.92","99.70","66.27K","-1.78%"
"07/01/2019","106.90","105.00","109.60","103.75","432.38K","-3.26%"
"06/01/2019","110.50","108.95","112.33","106.33","92.20K","1.87%"
"05/01/2019","108.47","114.42","114.88","107.65","572.80K","-12.35%"
"04/01/2019","123.75","125.70","128.88","123.75","124.91K","-1.55%"
"03/01/2019","125.70","130.15","130.45","125.62","507.91K","-3.27%"
"02/01/2019","129.95","125.00","129.95","124.85","78.58K","4.13%"
"01/01/2019","124.80","124.10","127.95","121.42","537.26K","0.00%"
"12/01/2018","124.80","117.67","125.58","116.75","78.33K","6.74%"
"11/01/2018","116.92","117.08","117.85","113.55","479.01K","0.92%"
"10/01/2018","115.85","113.70","116.00","111.90","146.81K","2.12%"
"09/01/2018","113.45","108.67","113.97","108.17","477.56K","6.23%"
"08/01/2018","106.80","107.67","111.10","105.70","74.01K","-0.81%"
"07/01/2018","107.67","107.17","110.67","102.70","516.53K","0.63%"
"06/01/2018","107.00","105.25","110.67","104.55","64.03K","1.86%"
"05/01/2018","105.05","106.30","108.10","101.38","586.65K","-15.11%"
"04/01/2018","123.75","113.78","125.15","110.10","88.30K","8.79%"
"03/01/2018","113.75","123.65","124.83","113.15","491.95K","-10.78%"
"02/01/2018","127.50","124.60","130.53","124.25","67.58K","2.95%"
"01/01/2018","123.85","122.25","126.75","116.25","484.90K","0.69%"
"12/01/2017","123.00","120.00","125.88","115.08","58.40K","2.59%"
