,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,26.54,26.69,26.29,26.2,24.75,23.8,24.35,25.4,25.73,26.39,25.88,26.15
1999,25.9,25.92,25.79,25.04,23.94,23.74,23.82,24.36,25.74,26,25.67,25.93
2000,25.76,25.5,25.35,25.12,24.46,23.94,22.87,24.68,25.1,26.51,25.88,25.92
2001,25.71,25.95,25.82,25.68,24.63,23.26,24.03,25.03,25.63,26.16,26.3,26.12
2002,25.89,25.87,26.1,25.82,25.11,23.99,24.15,25.27,25.52,27.01,26.4,26.38
2003,26.29,26.18,25.84,25.56,24.59,24.44,23.76,24.28,25.47,26.21,26.12,26.45
2004,25.95,25.57,25.78,25.82,24.37,23.72,23.41,24.52,26.14,26.38,26.38,26.26
2005,26.39,26.25,26.05,25.88,25.03,24.48,23.74,25.28,25.35,26.82,26.32,25.78
2006,26.37,26.13,25.94,25.24,23.91,23.82,24.1,25.07,25.57,26.47,26.03,26.4
2007,26.39,26.07,26.08,25.82,24.33,24.11,23.77,24.61,26.2,26.7,26.27,26.13
2008,25.63,25.64,25.44,25.18,24,23.36,24.01,25.23,25.54,26.68,26.29,25.91
2009,25.73,25.79,25.88,25.37,24.6,23.34,23.99,25.02,26.03,26.38,26.98,26.17
2010,26.38,26.78,26.49,25.68,24.83,24.14,24.06,24.64,26.43,26.44,26.09,26.25
2011,25.85,25.75,25.5,25.42,24.49,23.91,24.15,25.11,26.01,26.1,25.87,26.13
2012,25.55,25.77,25.72,25.63,24.75,24.26,23.89,24.98,26.27,26.96,26.49,26.51
2013,26.14,26.12,26.05,25.41,24.86,24.57,23.89,24.44,25.86,26.3,26.05,26.34
2014,26.18,25.99,25.71,25.65,24.8,24.46,24.03,25.14,26.47,26.8,26.48,26.35
2015,26.49,26.15,25.82,25.7,24.99,24.52,24.55,25.65,27.02,27.08,26.87,26.83
2016,26.53,26.44,26.43,26.5,25.04,23.81,24.44,25.44,25.88,26.8,26.39,26.41
2017,26.28,26.17,26.05,25.71,25.38,24.49,23.89,25.24,26.38,26.95,26.4,26.33
2018,26.08,25.87,26.23,25.65,24.89,23.89,24.24,24.7,26.29,26.65,26.45,26.18
2019,26.54,26.35,26.25,26.07,25.41,24.82,23.98,25.06,26.65,26.84,26.84,26.54
2020,26.56,26.34,26.38,25.65,24.73,24.55,24.46,25.33,26.8,27.22,26.64,26.54
2021,26.23,25.92,25.74,25.56,24.68,24.06,23.81,25.41,26.74,26.67,26.12,26.02
