date,fires
1998-06-01,3551
1998-07-01,8067
1998-08-01,35551
1998-09-01,41976
1998-10-01,23499
1998-11-01,6804
1998-12-01,4448
1999-01-01,1081
1999-02-01,1284
1999-03-01,667
1999-04-01,717
1999-05-01,1811
1999-06-01,3632
1999-07-01,8758
1999-08-01,39492
1999-09-01,36914
1999-10-01,27017
1999-11-01,8863
1999-12-01,4376
2000-01-01,778
2000-02-01,562
2000-03-01,848
2000-04-01,538
2000-05-01,2097
2000-06-01,6274
2000-07-01,4740
2000-08-01,22204
2000-09-01,23293
2000-10-01,27332
2000-11-01,8399
2000-12-01,4465
2001-01-01,547
2001-02-01,1060
2001-03-01,1267
2001-04-01,1081
2001-05-01,2090
2001-06-01,8405
2001-07-01,6488
2001-08-01,31838
2001-09-01,39829
2001-10-01,31039
2001-11-01,15640
2001-12-01,6200
2002-01-01,1653
2002-02-01,1569
2002-03-01,1678
2002-04-01,1683
2002-05-01,3816
2002-06-01,10845
2002-07-01,18080
2002-08-01,72412
2002-09-01,93417
2002-10-01,59257
2002-11-01,39913
2002-12-01,17091
2003-01-01,6697
2003-02-01,3099
2003-03-01,3549
2003-04-01,3643
2003-05-01,6448
2003-06-01,16752
2003-07-01,30391
2003-08-01,57004
2003-09-01,97758
2003-10-01,57495
2003-11-01,35421
2003-12-01,22980
2004-01-01,3883
2004-02-01,1932
2004-03-01,2928
2004-04-01,2956
2004-05-01,6609
2004-06-01,18024
2004-07-01,30356
2004-08-01,64067
2004-09-01,121395
2004-10-01,54292
2004-11-01,45364
2004-12-01,28639
2005-01-01,7057
2005-02-01,2898
2005-03-01,2528
2005-04-01,2743
2005-05-01,5075
2005-06-01,7854
2005-07-01,30238
2005-08-01,90729
2005-09-01,102455
2005-10-01,65023
2005-11-01,31631
2005-12-01,14332
2006-01-01,4531
2006-02-01,2387
2006-03-01,2426
2006-04-01,2269
2006-05-01,4313
2006-06-01,7601
2006-07-01,17788
2006-08-01,54630
2006-09-01,76475
2006-10-01,32043
2006-11-01,29302
2006-12-01,15414
2007-01-01,4220
2007-02-01,2761
2007-03-01,3340
