,state,year,month,fires,day,date
3700,para,1998,6,58,1,1998-06-01
4025,tocantins,1998,6,252,1,1998-06-01
3950,santa_catarina,1998,6,2,1,1998-06-01
3925,roraima,1998,6,0,1,1998-06-01
3900,rondonia,1998,6,27,1,1998-06-01
3875,rio_grande_do_sul,1998,6,0,1,1998-06-01
3850,rio_grande_do_norte,1998,6,1,1,1998-06-01
3825,rio_de_janeiro,1998,6,3,1,1998-06-01
3800,piaui,1998,6,46,1,1998-06-01
3775,pernambuco,1998,6,1,1,1998-06-01
3750,parana,1998,6,36,1,1998-06-01
3725,paraiba,1998,6,3,1,1998-06-01
3975,sao_paulo,1998,6,451,1,1998-06-01
3675,minas_gerais,1998,6,70,1,1998-06-01
3625,mato_grosso,1998,6,2200,1,1998-06-01
3600,maranhao,1998,6,78,1,1998-06-01
3575,goias,1998,6,172,1,1998-06-01
3550,espirito_santo,1998,6,6,1,1998-06-01
3525,distrito_federal,1998,6,2,1,1998-06-01
3500,ceara,1998,6,1,1,1998-06-01
3450,amazonas,1998,6,2,1,1998-06-01
3425,amapa,1998,6,0,1,1998-06-01
3400,alagoas,1998,6,0,1,1998-06-01
3375,acre,1998,6,3,1,1998-06-01
3650,mato_grosso_do_sul,1998,6,82,1,1998-06-01
4000,sergipe,1998,6,0,1,1998-06-01
3475,bahia,1998,6,55,1,1998-06-01
4050,acre,1998,7,35,1,1998-07-01
4275,maranhao,1998,7,276,1,1998-07-01
4300,mato_grosso,1998,7,3711,1,1998-07-01
4325,mato_grosso_do_sul,1998,7,360,1,1998-07-01
4350,minas_gerais,1998,7,231,1,1998-07-01
4200,distrito_federal,1998,7,17,1,1998-07-01
4375,para,1998,7,639,1,1998-07-01
4400,paraiba,1998,7,0,1,1998-07-01
4425,parana,1998,7,59,1,1998-07-01
4450,pernambuco,1998,7,5,1,1998-07-01
4175,ceara,1998,7,76,1,1998-07-01
4475,piaui,1998,7,188,1,1998-07-01
4500,rio_de_janeiro,1998,7,21,1,1998-07-01
4525,rio_grande_do_norte,1998,7,5,1,1998-07-01
4150,bahia,1998,7,219,1,1998-07-01
4125,amazonas,1998,7,72,1,1998-07-01
4550,rio_grande_do_sul,1998,7,0,1,1998-07-01
4575,rondonia,1998,7,366,1,1998-07-01
4600,roraima,1998,7,1,1,1998-07-01
